"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway",204,-0.459249818337515,-1.51523753566455,0.00050396116168816,0.00678986981989362,0.00505164206407434,4280,"tags=36%, list=16%, signal=31%","4790/27242/28755/56940/28834/2213/925/7462/114625/5788/940/50852/29760/3542/3988/917/3507/916/5795/7430/3539/54900/919/84174/23304/5293/1236/4792/163486/23607/3514/5594/387357/1540/3071/89857/115352/640/55024/6966/3493/5621/2885/931/4690/6967/9840/695/930/660/5144/1845/8915/9214/2355/973/25/596/3494/933/11126/974/4208/148823/3958/26228/10917/5336/79908/5579/5663/23228/11148/634"
"GO:1905475","GO:1905475","regulation of protein localization to membrane",194,-0.47070586401573,-1.54226000221535,0.000515489783926852,0.0069302268796028,0.00515606728070211,3566,"tags=30%, list=13%, signal=26%","54550/51225/245812/9482/26119/7779/7430/2042/6769/51548/5525/23096/64114/815/125170/51763/367/382/1956/5071/8673/3208/5621/9495/10490/2040/10439/5581/55022/1398/2852/817/8650/4641/5174/3958/6505/5780/23732/66000/25999/55625/9378/10580/23136/9912/5357/9528/2934/3745/163882/818/493/7957/288/11261/5906/123264"
"GO:0009214","GO:0009214","cyclic nucleotide catabolic process",14,-0.865826057341969,-1.79543412288807,0.000520748606345979,0.00697087941284596,0.00518631263921261,1507,"tags=50%, list=6%, signal=47%","5144/5136/8654/27115/5152/5151/5138"
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions",315,0.470425733154205,1.49768281789253,0.000520673914358773,0.00697087941284596,0.00518631263921261,5171,"tags=38%, list=20%, signal=31%","23450/9128/79084/26986/96764/6636/51645/22889/3609/27316/10465/9343/10921/25929/10212/6628/9129/6421/26834/1207/4691/6732/9584/55110/55692/56339/3178/6627/642659/26831/10713/9733/26835/65109/51634/8996/6625/51690/6626/10419/51691/22916/27339/26832/6432/6632/56259/5725/24148/3192/144983/57060/6633/10492/23658/11171/54960/100151683/25766/101447996/338657/6427/28960/6631/5411/1660/6635/57819/60625/9775/65110/7919/3181/6433/100151684/101954264/8175/26828/84292/26528/51319/7737/54496/26864/55082/10946/55280/6431/55660/50628/3187/51631/25980/6629/25804/3191/1665/8570/10772/54957/3312/7072/79833/4809/26121/4116/51163/79760/5935/10199/23020/11338/10084/22827/708/51747/8683/101954267/94104/9410"
"GO:0008334","GO:0008334","histone mRNA metabolic process",20,0.827789037694588,1.81971263703606,0.000525718939182017,0.00702234420260691,0.00522460228300127,2710,"tags=35%, list=10%, signal=31%","25888/51692/54512/7884/6741/22916/55149"
"GO:0086012","GO:0086012","membrane depolarization during cardiac muscle cell action potential",21,-0.791537200072895,-1.81006984048014,0.000533849591391067,0.00711571314337067,0.00529406848502747,3294,"tags=67%, list=12%, signal=58%","775/783/10021/6324/55800/54795/781/6546/6330/6327/7871/287/288/477"
"GO:0000959","GO:0000959","mitochondrial RNA metabolic process",61,0.669892162576064,1.76499933588447,0.000537768392213742,0.00715266360475335,0.00532155951356837,2487,"tags=28%, list=9%, signal=25%","84172/56652/2617/80324/51654/87178/84881/51001/25885/124454/9238/51067/11128/54802/80222/54938/51106"
"GO:0009187","GO:0009187","cyclic nucleotide metabolic process",41,-0.68120780146307,-1.76233942880654,0.000558228846683093,0.00740900328853007,0.00551227544238691,1726,"tags=34%, list=7%, signal=32%","2982/4882/112/5144/5136/4881/108/8654/27115/111/115/5152/5151/5138"
"GO:0098901","GO:0098901","regulation of cardiac muscle cell action potential",28,-0.745371533355796,-1.80918542347064,0.000562160035744241,0.00744533822287172,0.00553930852072044,3624,"tags=50%, list=14%, signal=43%","808/2258/775/1829/10021/54795/10142/5318/817/29119/857/1824/287/801"
"GO:0008038","GO:0008038","neuron recognition",48,-0.651263445295068,-1.76574093051673,0.00056491103186472,0.00746592164570365,0.00555462252339775,3739,"tags=46%, list=14%, signal=39%","2043/27242/4685/1954/2042/55118/836/57142/57453/84665/682/2909/2131/91624/57549/2596/6900/4692/23022/1268/27020/152330"
